category,correct,count_sequence,counter,current_cat,key_color,key_number,key_shape,persev_to,response,same_color,same_number,same_shape,stim_color,stim_number,stim_shape,subject_nr
NA,1,0,1,c,g,2,s,NA,2,1,0,0,g,1,t,999
NA,0,1,0,c,b,4,c,number,4,0,1,0,r,4,p,999
NA,1,2,1,c,b,4,c,number,4,1,0,0,b,2,t,999
NA,1,3,2,c,r,1,t,number,1,1,1,0,r,1,c,999
NA,1,4,3,c,g,2,s,number,2,1,0,1,g,4,s,999
NA,1,5,4,c,y,3,p,number,3,1,0,1,y,1,p,999
NA,1,6,5,c,b,4,c,number,4,1,1,0,b,4,t,999
NA,1,7,6,c,r,1,t,number,1,1,0,0,r,3,c,999
NA,0,8,0,c,y,3,p,shape,3,0,0,1,g,4,p,999
NA,1,9,1,c,y,3,p,shape,3,1,0,0,y,2,c,999
NA,1,10,2,c,b,4,c,shape,4,1,0,0,b,1,s,999
NA,1,11,3,c,r,1,t,shape,1,1,0,1,r,3,t,999
NA,1,12,4,c,b,4,c,shape,4,1,0,0,b,2,p,999
NA,1,13,5,c,y,3,p,shape,3,1,0,0,y,1,s,999
NA,1,14,6,c,g,2,s,shape,2,1,0,0,g,3,t,999
NA,1,15,7,c,b,4,c,shape,4,1,1,1,b,4,c,999
NA,1,16,8,c,r,1,t,shape,1,1,0,0,r,2,s,999
NA,1,17,9,c,y,3,p,shape,3,1,1,0,y,3,c,999
NA,1,18,10,c,r,1,t,shape,1,1,0,1,r,4,t,999
NA,0,19,0,f,y,3,p,color,3,1,0,0,y,1,c,999
NA,1,20,1,f,g,2,s,color,2,0,1,1,b,2,s,999
